TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
747387,868.025,2460.500659661063,0.6934423744678497,0.009479995,2,2460.500659661063,661,0.0,0.054216504,888.4789364337921,2.959473,0.054216504
750387,868.025,2462.7709758054402,-0.004171609878540039,0.010271548,1,2462.7709758054402,662,0.0,0.04196789,892.2263789176941,3.05958,0.04196789
753387,883.625,2515.4150230329215,0.9487932771444321,0.009500861,1,2515.4150230329215,663,0.0,0.06322737,895.9123532772064,3.1062646,0.06322737
757857,870.875,2492.0256097387232,0.7500628679990768,0.00890932,2,2492.0256097387232,665,0.0,0.035044752,899.5309641361237,3.1875298,0.035044752
760857,878.5,2519.899046309826,0.06508845090866089,0.009129053,1,2519.899046309826,666,0.0,0.042442936,903.3148581981659,3.224032,0.042442936
763983,867.95,2493.2882706559903,0.03300642967224121,0.009538753,2,2493.2882706559903,668,0.0,0.04816252,907.128321647644,3.1627173,0.04816252
769983,867.95,2502.711330602732,0.019302725791931152,0.008961435,2,2502.711330602732,670,0.0,0.040052317,910.848183631897,3.1611,0.040052317
772983,842.95,2430.1379229320396,0.6725878417491913,0.008989267,2,2430.1379229320396,672,0.0,0.07491718,914.5213935375214,3.1803682,0.07491718
777027,826.65,2384.0132908766764,-0.05843663215637207,0.009607793,2,2384.0132908766764,674,0.0,0.06324123,918.1896266937256,3.1468127,0.06324123
779925,825.8,2389.7075814451055,0.9012795761227608,0.010010195,1,2389.7075814451055,675,0.0,0.07130454,921.8643629550934,3.108559,0.07130454
782532,844.175,2446.653980294589,0.7087423205375671,0.009351984,1,2446.653980294589,676,0.0,0.08507061,925.6369304656982,3.1157525,0.08507061
784302,833.925,2420.4940579556605,0.9132351279258728,0.009757813,1,2420.4940579556605,677,0.0,0.0623276,929.4403603076935,3.0913012,0.0623276
787302,833.925,2427.9367938767004,-0.01183772087097168,0.009921881,1,2427.9367938767004,678,0.0,0.047879383,933.1157698631287,3.1249392,0.047879383
790302,833.925,2430.307121639786,-0.021414995193481445,0.011306067,1,2430.307121639786,679,0.0,0.04640837,936.8462970256805,3.130117,0.04640837
793302,833.925,2435.4974160324946,-0.06602239608764648,0.009828189,1,2435.4974160324946,680,0.0,0.04414741,940.5257959365845,3.126671,0.04414741
796302,833.925,2433.960149796149,0.24351978302001953,0.011007474,1,2433.960149796149,681,0.0,0.045693733,944.3003957271576,3.149193,0.045693733
799302,843.25,2462.9622674226653,0.05477386713027954,0.009738529,1,2462.9622674226653,682,0.0,0.058151197,948.0030510425568,3.1320777,0.058151197
803379,827.225,2427.1636242667437,0.7585640400648117,0.009370729,2,2427.1636242667437,684,0.0,0.060000237,951.7398386001587,3.135338,0.060000237
806379,827.225,2430.181287905405,0.10725241899490356,0.010099066,1,2430.181287905405,685,0.0,0.052102458,955.4518222808838,3.1020107,0.052102458
809379,827.225,2428.1316038782147,-0.05124056339263916,0.011219431,1,2428.1316038782147,686,0.0,0.049525984,959.2397572994232,3.0875547,0.049525984
812379,833.975,2448.6701040318885,-0.030333995819091797,0.009995651,1,2448.6701040318885,687,0.0,0.049030956,962.9386525154114,3.0310647,0.049030956
815787,824.5,2417.6140498301693,0.3924950361251831,0.009193447,2,2417.6140498301693,689,0.0,0.059691582,966.7347679138184,3.0409553,0.059691582
818787,844.35,2479.599756878747,0.010665535926818848,0.009040229,1,2479.599756878747,690,0.0,0.06806611,970.4327247142792,3.0905383,0.06806611
821787,844.35,2487.467961680288,-0.006644487380981445,0.009967124,1,2487.467961680288,691,0.0,0.04242204,974.1414859294891,3.129026,0.04242204
