EpLenMean,TimestepsSoFar,EpThisIter,ev_tdlam_before,optimgain,EpisodesSoFar,TimeElapsed,meankl,entropy,surrgain,entloss,EpRewMean,EpTrueRewMean
93.9,585675,11,0.9202853739261627,0.29653245,2628,1078.1078927516937,0.014892943,23.363932,0.29653245,0.0,476.5068745679331,476.5068745679331
96.775,588642,9,0.8945022523403168,0.15951973,2637,1083.8695623874664,0.0039505195,23.360289,0.15951973,0.0,489.3150702121078,489.3150702121078
98.25,591405,9,0.9206225052475929,0.19984457,2646,1089.508640050888,0.0041766465,23.359213,0.19984457,0.0,495.05734415087045,495.05734415087045
101.025,594450,10,0.9030666053295135,0.36952534,2656,1095.166706085205,0.014973878,23.36125,0.36952534,0.0,511.19762621616553,511.19762621616553
104.45,597345,9,0.8836450055241585,0.3187199,2665,1100.872807264328,0.014862783,23.36004,0.3187199,0.0,528.3289152705067,528.3289152705067
101.7,600558,11,0.9204283803701401,0.17039554,2676,1106.4195930957794,0.0042083175,23.359686,0.17039554,0.0,515.5630724285546,515.5630724285546
98.95,603552,11,0.9248268380761147,0.144077,2687,1112.0926368236542,0.0038835194,23.35938,0.144077,0.0,501.6096714629517,501.6096714629517
99.025,606636,10,0.9099715203046799,0.21428794,2697,1117.7193632125854,0.0045962483,23.360186,0.21428794,0.0,498.69540606399187,498.69540606399187
100.0,609582,9,0.8990711867809296,0.40558553,2706,1123.3294444084167,0.014840282,23.358158,0.40558553,0.0,502.49520821426086,502.49520821426086
100.325,612597,10,0.8807598426938057,0.19233438,2716,1128.974993467331,0.0042447606,23.35604,0.19233438,0.0,508.8428399116877,508.8428399116877
97.9,615618,12,0.8894201815128326,0.13771886,2728,1135.007192850113,0.003908964,23.355547,0.13771886,0.0,502.90396685521563,502.90396685521563
92.25,618510,11,0.8962201848626137,0.1390741,2739,1140.7149863243103,0.0039977804,23.357672,0.1390741,0.0,472.15684804443373,472.15684804443373
86.25,621786,13,0.9218843281269073,0.13578649,2752,1146.5688970088959,0.0038608948,23.357096,0.13578649,0.0,443.4846729550247,443.4846729550247
88.425,624936,11,0.9251225963234901,0.13952705,2763,1152.2487819194794,0.0038217125,23.358416,0.13952705,0.0,450.72266576608183,450.72266576608183
91.1,627903,10,0.8843393102288246,0.15626374,2773,1158.0400412082672,0.0038586273,23.356754,0.15626374,0.0,465.41543017973993,465.41543017973993
