entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,558.5711,492,0.042825744,2.9492772,2300.8293429669857,665.85,0.021022439002990723,0.009474598,680505,1,0.042825744,936.0706081390381
0.0,556.56335,494,0.045313038,2.9450376,2298.4274056499316,665.4,0.7758117765188217,0.010504744,685032,2,0.045313038,940.3749597072601
0.0,556.1002,495,0.05259294,2.9180887,2298.9354895575025,665.4,0.012879610061645508,0.01051008,688032,1,0.05259294,944.7177865505219
0.0,537.96985,497,0.042238712,2.8468728,2229.6898233230017,646.95,0.7024893164634705,0.011944685,691719,2,0.042238712,949.041041135788
0.0,545.8663,498,0.033504203,2.862815,2263.2116353700817,657.2,0.004083096981048584,0.009234663,694719,1,0.033504203,953.2861585617065
0.0,546.23956,500,0.056798756,2.8757608,2261.868853886085,655.95,0.9736519549041986,0.0104641095,697353,2,0.056798756,957.5692932605743
0.0,535.4021,502,0.057628483,2.9160435,2213.0357036878786,640.55,0.9704772476106882,0.010056447,699597,2,0.057628483,961.8507282733917
0.0,549.63165,503,0.054119647,2.888053,2273.98093555089,658.35,0.7286948263645172,0.010978565,702597,1,0.054119647,966.0677123069763
0.0,547.43066,505,0.05668947,2.8483303,2263.472343290182,655.275,0.9741864707320929,0.010496831,706242,2,0.05668947,970.3052115440369
0.0,546.2275,506,0.038864918,2.8575108,2262.0186376466,655.275,0.027336478233337402,0.010018816,709242,1,0.038864918,974.5888304710388
0.0,541.8504,508,0.049135335,2.8866584,2249.654878958418,650.2,0.593402773141861,0.010281697,714633,2,0.049135335,978.9005382061005
0.0,530.2049,510,0.06311763,2.764193,2197.787714071906,631.975,0.9738892018795013,0.009887464,718446,2,0.06311763,983.2031066417694
0.0,530.18,511,0.039150506,2.7674258,2201.46118353795,633.85,0.00013524293899536133,0.009474218,721446,1,0.039150506,987.540937423706
0.0,535.8021,512,0.04117748,2.7003584,2234.1363865767644,643.9,0.2060924768447876,0.010781626,724446,1,0.04117748,991.7937543392181
0.0,547.1963,514,0.05337055,2.6211824,2290.7652934646862,660.575,0.6062836647033691,0.011748876,728052,2,0.05337055,996.1020309925079
0.0,571.2012,516,0.069663346,2.6405554,2396.5110150318005,689.275,0.9497267827391624,0.009706443,732984,2,0.069663346,1000.3602588176727
0.0,576.6743,517,0.04277607,2.6979284,2424.0597887050108,697.45,-0.010089397430419922,0.010884255,735984,1,0.04277607,1004.6274085044861
