entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.24220024,69.65259,483378,496.71998031360863,0.013596229,0.8778398782014847,11,1070.59716963768,99.45,0.24220024,2146,23.272543
0.0,0.14266798,70.29402,486297,498.92992526289765,0.0039480366,0.8789793998003006,10,1077.3444783687592,99.625,0.14266798,2156,23.272688
0.0,0.27001846,66.37524,489228,478.7094468707942,0.014204213,0.8899222910404205,10,1084.0520284175873,96.0,0.27001846,2166,23.2736
0.0,0.30957842,65.8754,492342,483.50667206352836,0.014735965,0.855624794960022,10,1090.6912395954132,96.45,0.30957842,2176,23.267414
0.0,0.3185873,70.84064,495297,508.9118333533377,0.014635453,0.8369350135326385,10,1097.3959357738495,99.325,0.3185873,2186,23.262945
0.0,0.15951934,72.34635,498351,513.2510196014307,0.004666899,0.830505907535553,10,1103.9039390087128,100.45,0.15951934,2196,23.265318
0.0,0.29002374,73.265274,501291,502.8071029263553,0.014772842,0.8912278413772583,11,1110.443920135498,98.15,0.29002374,2207,23.264402
0.0,0.27814713,69.06345,504438,470.241425980599,0.014953309,0.8585330247879028,12,1116.9246699810028,92.075,0.27814713,2219,23.262228
0.0,0.14787136,69.186646,507747,481.4212557021484,0.0038824691,0.8726134449243546,11,1123.3506424427032,94.625,0.14787136,2230,23.257162
0.0,0.30138776,64.51064,510909,471.225264724511,0.014785953,0.8208465576171875,12,1129.632911682129,91.65,0.30138776,2242,23.258074
0.0,0.2890339,60.82906,513996,473.36359316757597,0.014739403,0.8718396425247192,11,1136.2232220172882,91.55,0.2890339,2253,23.260477
0.0,0.14898926,63.42384,516792,494.4151460413482,0.00398097,0.8165566325187683,9,1142.9141628742218,95.875,0.14898926,2262,23.257406
0.0,0.27176914,66.39995,519657,498.14428525790424,0.013641447,0.8537733554840088,9,1149.5307738780975,97.1,0.27176914,2271,23.258724
0.0,0.2666534,68.35426,522867,506.68193900799633,0.013327316,0.8502832055091858,11,1156.1679725646973,99.65,0.2666534,2282,23.256413
0.0,0.26961744,70.25099,525942,500.47460922156813,0.013984703,0.8609376102685928,11,1162.7884993553162,99.55,0.26961744,2293,23.256998
0.0,0.2657074,66.6684,528939,468.1496667880139,0.013062565,0.8244000226259232,11,1169.4184911251068,94.675,0.2657074,2304,23.261003
0.0,0.14694251,65.73853,532053,477.5377177113478,0.0038367072,0.8376723676919937,10,1176.0501227378845,95.925,0.14694251,2314,23.258772
0.0,0.15019092,67.539024,535209,479.873467535681,0.0038506896,0.8590072989463806,11,1182.6766300201416,95.9,0.15019092,2325,23.256124
0.0,0.294024,67.21065,538215,482.3964332822678,0.014253529,0.8653962016105652,10,1189.3052053451538,96.575,0.294024,2335,23.251059
0.0,0.2833273,70.09774,541464,503.368061440531,0.013502757,0.7927826941013336,11,1196.027907371521,100.1,0.2833273,2346,23.249979
0.0,0.28777373,68.6248,544401,482.5398477864611,0.0147028295,0.8517356216907501,11,1202.6077308654785,96.125,0.28777373,2357,23.254963
0.0,0.16201603,67.871666,547458,491.0527045022316,0.003803643,0.8761387839913368,10,1209.1822781562805,97.95,0.16201603,2367,23.258322
0.0,0.30963874,68.57715,550569,495.9030329188352,0.014280561,0.8890953809022903,10,1215.8378746509552,97.9,0.30963874,2377,23.260826
0.0,0.2890923,70.935684,553701,507.64476032067006,0.014295356,0.8428164571523666,10,1222.3787667751312,99.45,0.2890923,2387,23.261295
0.0,0.14352423,71.88279,556818,519.3569277783014,0.0038114325,0.8813183680176735,11,1228.9287855625153,101.2,0.14352423,2398,23.259035
0.0,0.14141643,70.71687,560073,510.2220469744868,0.0039414214,0.8900067508220673,11,1235.481477022171,99.875,0.14141643,2409,23.265398
0.0,0.15183502,69.73745,562995,510.74486107114046,0.004224959,0.84811070561409,9,1242.0050129890442,100.375,0.15183502,2418,23.262445
